StateAbbr,State,TOPIC,ValueOrig1,Value1,AvgOW,LAT,LON,Questio
MS,Mississippi,DistrictsHealthierFoodRetailer,61.5,61.5,36.7,32.7455101,-89.53803082,PercentTracksHealthierFoodRetailerWithinHalfMile
IA,Iowa,DistrictsHealthierFoodRetailer,56,56,31.5,42.46940091,-93.81649056,PercentTracksHealthierFoodRetailerWithinHalfMile
KS,Kansas,DistrictsHealthierFoodRetailer,58.6,58.6,31.2,38.3477403,98.20078123,PercentTracksHealthierFoodRetailerWithinHalfMile
DE,Delaware,DistrictsHealthierFoodRetailer,77.1,77.1,30.3,39.00883067,-75.57774117,PercentTracksHealthierFoodRetailerWithinHalfMile
MA,Massachusetts,DistrictsHealthierFoodRetailer,73.1,73.1,24.6,42.27687047,-72.08269067,PercentTracksHealthierFoodRetailerWithinHalfMile
AL,Alabama,DistrictsHealthierFoodRetailer,64.3,64.3,35.4,32.84057112,-86.63186076,PercentTracksHealthierFoodRetailerWithinHalfMile
AZ,Arizona,DistrictsHealthierFoodRetailer,70.9,70.9,29.6,34.86597028,-111.7638113,PercentTracksHealthierFoodRetailerWithinHalfMile
RI,Rhode Island,DistrictsHealthierFoodRetailer,73.9,73.9,26.9,41.70828019,-71.52247031,PercentTracksHealthierFoodRetailerWithinHalfMile
AK,Alaska,DistrictsHealthierFoodRetailer,46.1,46.1,31.6,64.84507996,-147.722059,PercentTracksHealthierFoodRetailerWithinHalfMile
AR,Arkansas,DistrictsHealthierFoodRetailer,61.7,61.7,35.5,34.74865012,-92.27449074,PercentTracksHealthierFoodRetailerWithinHalfMile
CA,California,DistrictsHealthierFoodRetailer,82.9,82.9,26.1,37.63864012,-120.9999995,PercentTracksHealthierFoodRetailerWithinHalfMile
CO,Colorado,DistrictsHealthierFoodRetailer,74.6,74.6,23.3,38.84384076,-106.1336109,PercentTracksHealthierFoodRetailerWithinHalfMile
CT,Connecticut,DistrictsHealthierFoodRetailer,71,71,27.1,41.56266102,-72.64984095,PercentTracksHealthierFoodRetailerWithinHalfMile
DC,District of Columbia,DistrictsHealthierFoodRetailer,83.2,83.2,24.6,38.89037139,-77.03196113,PercentTracksHealthierFoodRetailerWithinHalfMile
MD,Maryland,DistrictsHealthierFoodRetailer,74.4,74.4,30.1,39.29058096,-76.60926011,PercentTracksHealthierFoodRetailerWithinHalfMile
MI,Michigan,DistrictsHealthierFoodRetailer,63.3,63.3,32.5,44.66131954,-84.71439027,PercentTracksHealthierFoodRetailerWithinHalfMile
OH,Ohio,DistrictsHealthierFoodRetailer,66.4,66.4,32.8,40.06021014,-82.40426006,PercentTracksHealthierFoodRetailerWithinHalfMile
WA,Washington,DistrictsHealthierFoodRetailer,73.3,73.3,29.4,47.52227863,-120.4700108,PercentTracksHealthierFoodRetailerWithinHalfMile
WV,West Virginia,DistrictsHealthierFoodRetailer,61.4,61.4,38.1,38.6655102,-80.71264013,PercentTracksHealthierFoodRetailerWithinHalfMile
FL,Florida,DistrictsHealthierFoodRetailer,79.6,79.6,27.5,28.93204038,-81.92896054,PercentTracksHealthierFoodRetailerWithinHalfMile
KY,Kentucky,DistrictsHealthierFoodRetailer,61.4,61.4,34,37.64597027,-84.77497105,PercentTracksHealthierFoodRetailerWithinHalfMile
LA,Louisiana,DistrictsHealthierFoodRetailer,67.4,67.4,35.7,31.31266064,-92.44568007,PercentTracksHealthierFoodRetailerWithinHalfMile
ME,Maine,DistrictsHealthierFoodRetailer,59,59,30.9,45.25422889,-68.98503134,PercentTracksHealthierFoodRetailerWithinHalfMile
NV,Nevada,DistrictsHealthierFoodRetailer,71.6,71.6,25.8,39.49324039,-117.0718406,PercentTracksHealthierFoodRetailerWithinHalfMile
NH,New Hampshire,DistrictsHealthierFoodRetailer,60.6,60.6,26.4,43.65595011,-71.50036092,PercentTracksHealthierFoodRetailerWithinHalfMile
NJ,New Jersey,DistrictsHealthierFoodRetailer,80.9,80.9,28.1,40.13057005,-74.27369129,PercentTracksHealthierFoodRetailerWithinHalfMile
NM,New Mexico,DistrictsHealthierFoodRetailer,52.4,52.4,29,34.52088095,-106.240581,PercentTracksHealthierFoodRetailerWithinHalfMile
NY,New York,DistrictsHealthierFoodRetailer,82.8,82.8,25.9,42.82700103,-75.54397043,PercentTracksHealthierFoodRetailerWithinHalfMile
NC,North Carolina,DistrictsHealthierFoodRetailer,73.8,73.8,31.8,35.46622098,-79.15925046,PercentTracksHealthierFoodRetailerWithinHalfMile
ND,North Dakota,DistrictsHealthierFoodRetailer,47.8,47.8,32.9,47.47531978,-100.118421,PercentTracksHealthierFoodRetailerWithinHalfMile
OK,Oklahoma,DistrictsHealthierFoodRetailer,49.4,49.4,32.8,35.47203136,-97.52107021,PercentTracksHealthierFoodRetailerWithinHalfMile
OR,Oregon,DistrictsHealthierFoodRetailer,77.6,77.6,28.7,44.56744942,-120.1550313,PercentTracksHealthierFoodRetailerWithinHalfMile
PA,Pennsylvania,DistrictsHealthierFoodRetailer,70.2,70.2,30.3,40.79373015,-77.86070029,PercentTracksHealthierFoodRetailerWithinHalfMile
SC,South Carolina,DistrictsHealthierFoodRetailer,69.1,69.1,32.4,33.9988213,-81.04537121,PercentTracksHealthierFoodRetailerWithinHalfMile
SD,South Dakota,DistrictsHealthierFoodRetailer,42.8,42.8,29.8,44.35313005,-100.3735306,PercentTracksHealthierFoodRetailerWithinHalfMile
TN,Tennessee,DistrictsHealthierFoodRetailer,64.1,64.1,35.7,35.68094058,-85.77449091,PercentTracksHealthierFoodRetailerWithinHalfMile
TX,Texas,DistrictsHealthierFoodRetailer,68.7,68.7,32.7,31.82724041,-99.42677021,PercentTracksHealthierFoodRetailerWithinHalfMile
UT,Utah,DistrictsHealthierFoodRetailer,64.8,64.8,25.5,39.36070017,-111.5871306,PercentTracksHealthierFoodRetailerWithinHalfMile
VT,Vermont,DistrictsHealthierFoodRetailer,51.4,51.4,28,43.62538124,-72.51764079,PercentTracksHealthierFoodRetailerWithinHalfMile
VA,Virginia,DistrictsHealthierFoodRetailer,71.7,71.7,30.2,37.54268067,-78.45789046,PercentTracksHealthierFoodRetailerWithinHalfMile
WI,Wisconsin,DistrictsHealthierFoodRetailer,61.5,61.5,31.2,44.39319117,-89.81637074,PercentTracksHealthierFoodRetailerWithinHalfMile
WY,Wyoming,DistrictsHealthierFoodRetailer,55,55,27.7,43.23554134,-108.1098304,PercentTracksHealthierFoodRetailerWithinHalfMile
